"question_number","question_id","classification","reason","suggested_subject"
"17","29e05594-470e-4f38-87df-2db9ad5bf3b8","DURABLE","Strategic pillars of the RBI Utkarsh 2029 framework","banking"
"18","16ebb855-d630-4b16-aa86-160abcbb225f","DURABLE","Statement about the Mughal Empire; fixed history",""
"19","f3891a94-4292-4271-8cd8-098f2d7c9347","PERISHABLE","Host of a named world cup; tournament host",""
"20","c6f4a179-832d-4d00-8e21-d3851ae27ee5","PERISHABLE","Census 2027 design statements; pre-event and revisable",""
"21","687061dd-0502-4743-90c1-808b215ebbbe","DURABLE","Ancient text on statecraft and economics; fixed",""
"22","fba8b074-a1ac-4ac1-ac0b-ae4423d6e9b0","PERISHABLE","Award for SHG-Bank Linkage performance in a stated year; annual award",""
"23","435e6157-3134-451d-a3b0-d7e169ea32a4","PERISHABLE","State proposed for an underwater tunnel; proposal stage",""
"24","731f7ea2-af59-4434-963c-ec99b77bf40e","PERISHABLE","IUCN Red List status of a species; reassessed periodically",""
"25","96983e4c-9443-438f-ba1d-4a9622cb33a7","DURABLE","Statue on the Narmada bank; fixed",""
"26","e31db937-4117-4543-944a-0ffa11ad37c6","DURABLE","Popular nickname of the National Security Guard; fixed",""
"27","81ef43fd-1890-405f-9ce2-48ecb8b555ec","DURABLE","Character length of a DIGIPIN; fixed specification",""
"28","a7cd2a57-d363-4ead-ba0b-5290d0ceb402","PERISHABLE","Payments bank whose licence was cancelled in a stated month; enforcement event",""
"29","d05258b3-b61d-47be-b1c6-752e578da1ca","DURABLE","Minimum transaction amount for RTGS; system parameter","banking"
"30","fd588fbf-d6de-4553-809b-0941ae676f05","DURABLE","Author of a named book; authorship does not change",""
"31","50a601b2-a5b1-4d35-972c-b57d1937cd63","PERISHABLE","Who has not received the Bharat Ratna; changes as awards are conferred",""
"32","0a1a3638-6d31-46b8-b17d-2fa4af6dcdbd","DURABLE","Country where the QR code originated; fixed",""
"33","be6cee63-52ce-4af0-a166-65ee63ac9904","DURABLE","Diamond mine located in India; fixed",""
"34","799413a5-0a2a-4717-a6c4-b34dde156250","DURABLE","Locations of government currency note printing presses; fixed","banking"
"35","e632c832-0d26-4c61-bb8c-abbde570ac90","DURABLE","Authority that introduced IMPS; fixed institutional fact","banking"
"36","c3a497a7-9821-4a3b-99c5-11961fefda9c","DURABLE","Groups in which India holds permanent membership; stable",""
"37","d55a8109-c3ce-4e08-8800-2ba9574fed77","PERISHABLE","Bank signing an MoU with a procurement platform; dated tie-up",""
"38","9d3bf2a4-fd78-4666-8562-3117423f24c7","DURABLE","IMF definition of geo-economic fragmentation; conceptual","economics"
"39","978308d3-3020-45b1-bee7-e05d9a8237ab","PERISHABLE","Nationality of a chess finalist; sports result",""
"40","7b6e13e8-ac4c-444c-b3b6-b10f0094aa31","PERISHABLE","State developing an underwater museum; project announcement",""
"41","9f00a91a-b5cd-4d75-b20f-1c91b2e71336","DURABLE","Name of the RBI-issued digital currency; fixed","banking"
"42","6c929b39-df7d-40a7-9df7-d26ae33bc1bd","DURABLE","Second-longest surviving fort wall; fixed",""
"43","977fc7d2-9209-41a9-b086-aa58f10c4ae9","DURABLE","Aravalli range geography statements; fixed",""
"44","b51c3c4e-a34c-49f9-a14c-e66bb964a02d","DURABLE","Form that a new TDS certificate form replaced; statutory form lineage","financial-awareness"
"45","2e6d4e64-95cf-44de-8875-01b25c1f48ba","DURABLE","Scheme providing all-weather rural road connectivity; scheme identity","financial-awareness"
"46","68e42cf5-bdc0-44dc-b55e-0b32cccf5dc6","PERISHABLE","Chairman of a Finance Commission; appointment",""
"47","b8b7b526-5f4a-4e6c-a745-c7278d4d8b9c","DURABLE","Currency in which World Bank Atlas GNI per capita is expressed; methodology","economics"
"48","3bc9fd7d-5859-43f1-9dcd-5851b548e7f9","PERISHABLE","Holder of a numbered service chief post; appointment",""
"49","4fe8bf7a-616d-4429-98ff-24bfa1d9ac7f","PERISHABLE","Consortium acquiring a sports franchise; dated corporate event",""
"50","cbaa3783-ccfe-4e0b-a8b3-204aad07c090","DURABLE","Country in which Chabahar Port is located; fixed",""
"51","b6154be5-0c97-4d1b-9085-61db1b0ff915","DURABLE","Benchmark index of the National Stock Exchange; fixed","capital-market"
"52","589f35cb-b76f-42b3-9703-2da6982a1ab4","DURABLE","Components of India's foreign exchange reserves; fixed composition","banking"
"53","b15cae37-0c87-4b04-a5fc-b7a382470347","PERISHABLE","Union Territory setting a Guinness record; dated record",""
"54","86002779-8904-4179-8b03-6ba2d7001140","DURABLE","Dams and the rivers they are built on; fixed",""
"55","b30bbf95-5f03-42dd-9f17-ea9dd47c0b55","PERISHABLE","Bank receiving a regulator's annual award; annual award",""
"56","7105ad1e-b88f-4afa-b261-7a33a4eb90bc","DURABLE","Sector targeted by the RBI Mission SAKSHAM capacity initiative","banking"
"57","7802b29f-d1c9-4981-a09f-a339deaa043f","DURABLE","Expansion of the JANANI acronym; fixed",""
"58","922d1947-2b01-4243-83aa-789c7ba407c9","DURABLE","Leader who was both INC President and President of India; fixed history",""
"59","91675498-0569-496e-8d80-11c891abf42b","PERISHABLE","National park where a tagged turtle was released; dated event",""
"60","928c8863-88b8-4b61-91f4-32d682e5b755","PERISHABLE","Host of an inaugural cricket trophy; tournament host",""
"61","4ac4735e-ef03-4ce1-8b15-565c201734d3","DURABLE","RBI portal for digital submission of regulatory applications; system identity","banking"
"62","dd38a08c-5445-49ca-bbdb-d5fd4185aec5","DURABLE","Currency-country pairing; stable",""
"63","c02fea59-8401-4fb7-b276-a448bde38fa8","PERISHABLE","World Press Freedom Index 2026 top rank; annual ranking",""
"64","44a29ded-7bfb-43d7-949b-c1fc34797e05","PERISHABLE","Bank announcing a dated investment programme; corporate announcement",""
"65","d435def6-8729-4739-9750-91403668a092","DURABLE","Biodiversity hotspots found in India; fixed",""
"66","94ce286e-c5cb-447f-bc2f-65c818c4becc","DURABLE","UPI variant supporting offline low-value payments and its ceiling","banking"
"67","c26a338e-8567-4748-becf-9d81c59255b4","PERISHABLE","Commodity under an export restriction extended to a stated month",""
"68","54dd9e3e-17f2-4d72-9939-b53c93cb873e","PERISHABLE","Winner of a literary prize; award winner",""
"69","7ecdb3f0-003c-4c2e-9d80-1ece9f65d7eb","PERISHABLE","Fintech receiving an NBFC licence in a stated month; dated approval",""
"70","02a9bdaa-c40f-4977-876d-ed4f107251ee","DURABLE","Country along the Pacific rim; fixed geography",""
"71","acbee2a8-8961-4ffb-a443-22eeb4dc2f4b","DURABLE","Which entitlement is a Fundamental Right; fixed constitutional list",""
"72","db183f8d-748a-4340-ad0e-5a44a026bf1a","DURABLE","Supreme Court initiative integrating case data; system identity",""
"73","1801d1c0-7922-4a17-adb6-374031799f1d","DURABLE","Membership of the State Level Bankers' Committee; fixed institutional design","banking"
"74","4e6985ab-cded-482f-b6c6-9969afc31733","DURABLE","Home country of a named foreign bank operating at GIFT City; fixed","banking"
"75","41ffa638-a718-46e0-8c78-10588af603ac","DURABLE","Revolutions and their pioneers; fixed history",""
"76","3b5103c4-e6d0-452c-9366-d7d58a3b779a","PERISHABLE","Year-on-year bank credit growth at a stated date; per-period statistic",""
"77","b2e9bac9-ffee-4db3-b5cb-0737ec403527","PERISHABLE","Publisher of a dated urban governance report; report edition",""
"78","d96cfb79-19ef-49de-93be-1538fcddb0d9","PERISHABLE","Top unlisted company in a stated year's list; annual ranking",""
"79","150337ff-ae50-44a6-aabc-fc772b95a9d7","DURABLE","Minimum annual contribution to keep a PPF account active; scheme rule","pension-sector"
"80","46a64e8c-60c2-4cc2-9c66-c22985622365","PERISHABLE","Renewable capacity statements keyed to stated months; per-period data",""
