"question_number","question_id","classification","reason","suggested_subject"
"63","e5c98da9-732f-40c7-aac2-cc1d05c5e6d6","DURABLE","SEBI transition bonds as a sub-category of green debt securities","capital-market"
"64","9d689a3a-0f88-4927-bb18-0500b0c79819","DURABLE","Minimum Net Owned Funds for NBFC-MFIs in the North-East","banking"
"65","b9d6a044-93fd-439d-b2d2-fccd2b5bc02c","DURABLE","Full form of DRS in cricket; fixed definition",""
"66","2072bcce-cf00-44b7-b6e0-ba6f707ec04f","PERISHABLE","Chief investment officer of the SWAMIH fund; appointment",""
"67","8ce49aa5-bda8-438c-ac00-92e28ab53677","DURABLE","PM-KUSUM component structure and capacity design","financial-awareness"
"68","0453ae7c-d895-45c3-af13-8ad11ae01751","DURABLE","Smart Cities Mission funding pattern and design","financial-awareness"
"69","d45288ea-3086-455e-a2f7-3b86ccb182ca","PERISHABLE","Themes of a specific SAI20 summit; event edition",""
"70","1e23b271-6759-40c2-845a-93b0f48c4f61","DURABLE","Location of the climate clock; fixed installation",""
"71","67c276e5-2f91-45f5-b1d7-33d38a4bd376","DURABLE","UPI launch year, availability and addressing mechanics","banking"
"72","b4f5f20f-b40d-48c5-9e91-0189760913db","DURABLE","PIDF governance, tenor and deployment targets","banking"
"73","c70742d0-94f7-42a6-9d17-1d38860e76c3","DURABLE","Denominator against which Gross Domestic Saving is expressed","economics"
"74","f0abc93c-7023-4b6f-a1ca-300dce26ff5e","DURABLE","Which clearing corporation is not SEBI-recognised; stable recognition list","capital-market"
"75","7343f9ba-a106-42fb-9b93-532bbe0eeb4c","DURABLE","Bharat BillPay channel and ecosystem features","banking"
"76","362a02d5-a932-44c8-a8b5-4fb0bbed52d4","DURABLE","Constitutional article on Union/State/Concurrent lists; fixed",""
"77","33b11bae-3149-4094-8a02-a209c867dc95","DURABLE","Multilateral agency issuing the India Country Partnership Strategy; fixed issuer","financial-awareness"
"78","3395bf01-c064-431b-8735-d7b9811b7ada","PERISHABLE","Top gold-producing countries; ranking changes",""
"79","a60b1c74-242e-400e-9aa2-d6b6deb6437c","DURABLE","Number of parties in the TReDS mechanism; fixed structure","banking"
"80","518bd8f3-af42-4782-9d84-186be53a4b6b","PERISHABLE","IRDAI D-SII list for a stated year; reissued annually",""
