"question_number","question_id","classification","reason","suggested_subject"
"62","b1344732-0b5e-4dae-ac84-ffad33f04440","PERISHABLE","Cross-border payments partner country in a stated month; dated tie-up",""
"63","cf3faf75-ac41-4024-a832-3ef1c230bada","PERISHABLE","Human Development Report 2025 pattern for India; annual report reading",""
"64","67ad6288-b1ea-4d89-932e-670a65c565b0","DURABLE","Rivers by country of origin; fixed geography",""
"65","0187dc2a-c63d-43db-87d5-19149ae39a53","PERISHABLE","Location of a newly inaugurated plant; dated event",""
"66","b8859b98-5bd2-4736-be71-6346397bdb8f","DURABLE","States covered by a World Bank-funded highway corridor project; project design","financial-awareness"
"67","11d4eb3d-a5bf-44a6-b9e1-3bd735df0fd6","PERISHABLE","Countries with operational SMRs as of a stated year; changes as reactors commission",""
"68","fb41e2c9-dec4-47cd-91a4-8e26f77d0c5e","PERISHABLE","Global Innovation Index 2025 ranks; annual index values",""
"69","817e9feb-25c7-49d8-bb89-8a5c67e00833","DURABLE","Founding year and organisers of a named summit; fixed",""
"70","58c5c56d-b0db-4e67-ad1b-2d7e4bfcd500","DURABLE","SDG number addressing quality education; fixed",""
"71","00ac2d8f-3e72-4b55-b0e9-f0611b410010","PERISHABLE","Name of a flagged-off expedition; dated event",""
"72","da0846a8-fb42-49c4-b9df-7447a5295d75","DURABLE","State that pioneered ID cards and institutional support for SHGs","financial-awareness"
"73","7539b035-f878-4bc9-8e7d-3f5582a964db","DURABLE","Ex-officio President of CSIR; fixed office-holder rule",""
"74","da16eef0-aef4-4ece-985a-cf05db36caf6","PERISHABLE","Agricultural statements keyed to a stated year's prices; per-year data",""
"75","71fd899a-b967-418a-8079-7cbb08fbf975","DURABLE","Maximum tenure of an RBI Ombudsman under the 2021 scheme","banking"
"76","160fbfab-367a-48c8-a5bf-7c2233001177","DURABLE","Author of a named novel; authorship does not change",""
"77","e336a437-36d8-4600-a35f-b38f44d4436b","DURABLE","Authorised capital of IIFCL; institutional parameter","banking"
"78","ea5cbcc8-b3b5-4731-aae2-21b6837d81cf","PERISHABLE","Guinness record for policies sold in 24 hours; dated record",""
"79","4134fd56-569d-48c1-b72e-c5a2b126cd4d","DURABLE","Date from which mandatory CSR provisions took effect; fixed statutory date","financial-awareness"
"80","e7dae8e3-af8f-461e-b9db-6259a422c869","PERISHABLE","Which sites are on the UNESCO list; list grows each session",""
