"question_number","question_id","classification","reason","suggested_subject"
"51","502ce244-eebd-45d6-873c-07b8e0daec11","PERISHABLE","Country leading Gen AI patent filings; changes yearly",""
"52","9bcb0ef0-a3f5-4943-b99f-0df2c20550d0","PERISHABLE","Grand Slam titles not yet won by a player; sports result",""
"53","e9341b3c-8605-4df3-9bbc-a4ddc0d5528e","DURABLE","Olympic games at which a named shooter won gold; fixed historical result",""
"54","75db4cef-c2c5-4107-abe7-abc2c9b2058f","PERISHABLE","Environmental Performance Index placement; annual ranking",""
"55","10af97a2-2afc-49f3-9394-df831d4706cc","PERISHABLE","Federation kit sponsor; commercial deal",""
"56","ebbc4dd1-e619-499d-aa50-57e603aaf3ff","PERISHABLE","India's G20 Sherpa; appointment",""
"57","b072a614-e11b-43ef-a926-102f8e4f61bb","PERISHABLE","Global Peace Index 2024 least peaceful list; annual ranking",""
"58","fc5a9390-640e-44c7-9656-3c93bdf37c62","DURABLE","Alternative name of the BBNJ Agreement; fixed treaty naming",""
"59","5ea75317-93e0-45f6-b713-e15661a4ea83","DURABLE","Region with the largest lithium reserves; geological fact",""
"60","5b44f24f-1c7b-4a42-b822-3393a48b648e","PERISHABLE","Top three countries at a mathematics olympiad; per-edition result",""
"61","53f4f623-2ab7-46e8-9dfb-efb45ce9d735","PERISHABLE","Insurer launching a named AI health plan; product launch",""
"62","ce005ad8-65c4-4c19-984b-3d3ef073fd23","DURABLE","Days taken by Aditya L1 to complete its first halo orbit; fixed mission fact",""
"63","476a1b17-5848-47ba-9a60-c7015b1a2ef6","DURABLE","Constitutional schedule containing the anti-defection law; fixed",""
"64","8c723e8f-6790-411a-8249-8b60a512b3ce","DURABLE","Maximum fine under the Public Examinations Act; statutory threshold",""
"65","0b0c9568-a2f0-4dd5-a57f-42866eeb2434","DURABLE","Country the Houthis belong to; fixed",""
"66","2735f8fd-d4a7-4666-b67d-02cb8992a0d9","DURABLE","Term for startups approaching unicorn valuation; fixed definition","financial-awareness"
"67","6e1a77de-bc75-4417-88c8-c6435759514a","DURABLE","The two houses of the UK Parliament; fixed",""
"68","2f3f55fb-f6e3-4a9d-a0bf-ee2749f1dc66","DURABLE","Statutory number of information commissioners; fixed",""
"69","4cc1af65-893b-4548-ae4c-af73d2077672","PERISHABLE","Employer brand ranking for a stated year; annual ranking",""
"70","1633fb70-e013-4f85-8c9f-ad306f6e63d0","PERISHABLE","FMCG brand recognition per a stated report; annual ranking",""
"71","ba2458c3-0fa8-4521-bac7-fbd4c2507133","PERISHABLE","Sport India skipped at a named Olympics; per-edition fact",""
"72","c156f5f1-1850-4f96-b60b-1ec4a8f82850","PERISHABLE","Venue of a stated annual assembly; summit host",""
"73","d699bb86-2cf3-4195-8a66-7b4d2c5faec9","DURABLE","Gazetteer listing a named lunar site; fixed nomenclature",""
"74","be6b9e3c-7dbe-4638-b76c-f66406815e0f","DURABLE","Author of a named book; authorship does not change",""
"75","c2377279-c3a4-4bce-9fac-ad9fe5bce7e8","PERISHABLE","Banks involved in a dated merger approval; corporate event",""
"76","b4e1528c-a68c-452c-8e6c-80260a6f03e9","PERISHABLE","Venue of the 2025 G7 summit; summit host",""
"77","65c278c8-5e09-4b68-80ca-0aa0a5db073a","PERISHABLE","Partner country in a payment-system linkage; dated agreement",""
"78","a3fb5fe1-9d94-4d21-9416-8b696ba1e82c","DURABLE","Name of the chilli pungency scale; fixed definition",""
"79","1143acaa-b912-4b79-86a0-2fd5dfabf6db","PERISHABLE","Focus areas of a stated budget; budget-year content",""
"80","7141e43d-e2ad-481a-aba5-d0c402af0930","DURABLE","Term for false AI output; fixed definition",""
