"subject","subject_id","paper_code","phase","question_number","display_order","source_question_ref","topic","microtopic","microtopic_slug","question_id","stem_excerpt"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2020","1","172","12","ARD-2020-Q172","Animal Husbandry, Dairy and Poultry","Poultry production and management","ard-poultry-production-and-management-23203b34","60850d8e-b542-45c1-b356-6c94a0a09ec7","Q.172) What is the productive age of the layers in poultry?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2020","1","173","13","ARD-2020-Q173","Rural Development, Schemes and Institutions","Direct income support to farmers","ard-direct-income-support-to-farmers-d6af2ca5","8f79aaff-63b0-4050-911e-6e39c476a2b5","Q.173) Which one is false for PM KISAN?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2020","1","174","14","ARD-2020-Q174","Agricultural Economics, Credit and Marketing","Minimum Support Price and procurement","ard-minimum-support-price-and-procurement-08bf1b90","e8f914d6-200f-442f-9d70-eccd2c0b4a5a","Q.174) PDS and PDPS are the components of which scheme"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2020","1","175","15","ARD-2020-Q175","Rural Development, Schemes and Institutions","Rural roads and PMGSY","ard-rural-roads-and-pmgsy-2cb50665","057eb4d0-2aa9-4021-a3ff-d2d64b35fb67","Q.175) For the better connectivity in the rural areas, roads are constructed which schemes covers the construction?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2020","1","176","16","ARD-2020-Q176","Agricultural Economics, Credit and Marketing","Agricultural events and industry associations","ard-agricultural-events-and-industry-associations-5540f0f2","f207d9ac-e716-44d3-8f6c-1daf8d89653b","Q.176) The 6th world congress of agriculture held at _____________."
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2020","1","177","17","ARD-2020-Q177","Soil Science, Water and Agro-meteorology","Soil health management and testing","ard-soil-health-management-and-testing-a8f440e2","2e51f451-d912-4101-aefa-b2e857c5afd6","Q.177) Swasth Dhara Khet Hara is the tag line for"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2020","1","178","18","ARD-2020-Q178","Rural Development, Schemes and Institutions","Panchayati Raj and rural governance","ard-panchayati-raj-and-rural-governance-18cc1263","22a25d2d-5997-4dc9-be22-8272d4affbcb","Q.178) Under which committee the concept of democratic decentralization came which led to the three-tier system of Panch"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2020","1","179","19","ARD-2020-Q179","Rural Development, Schemes and Institutions","MGNREGA","ard-mgnrega-e34273e0","f444761d-6374-4254-8f22-92678eedb30b","Q.179) Which scheme provide 100 days guaranteed employment of 100 days every year to the individuals above 18 yrs of age"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2020","1","180","20","ARD-2020-Q180","Agricultural Economics, Credit and Marketing","Kisan Credit Card and agricultural credit targets","ard-kisan-credit-card-and-agricultural-credit-targets-1b663009","9d89df93-da5a-4b72-a8be-f2e9dbff5c73","Q.180) What is the rate of interest on KCC in which govt gives interest subsidy of 2%?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2020","1","181","21","ARD-2020-Q181","Rural Development, Schemes and Institutions","Rural waste management and bioenergy","ard-rural-waste-management-and-bioenergy-10b2ffaf","350b7c28-565d-4355-ba0f-819066c00173","Q.181) In GOBAR-DHAN Scheme, R stands for"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2020","1","182","22","ARD-2020-Q182","Soil Science, Water and Agro-meteorology","Agro-meteorology, rainfall and instruments","ard-agro-meteorology-rainfall-and-instruments-1970b919","97fa0c99-06fa-42c2-b505-613a7a1acaec","Q.182) What is the minimum amount of rainfall require to call a rainy day?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2020","1","183","23","ARD-2020-Q183","Agronomy and Crop Production","Millets and coarse cereals","ard-millets-and-coarse-cereals-5817dc22","0f22fe7a-e639-47cc-b2ad-7b84b228507b","Q.183) Which year is dedicated as the international year of Millets by UN FAO?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2020","1","184","24","ARD-2020-Q184","Agricultural Economics, Credit and Marketing","Priority sector lending and RIDF","ard-priority-sector-lending-and-ridf-f05ce94f","561470d2-f8ff-4212-98fc-73b051a4807d","Q.184) Whenever there is shortfall from the target of priority sector, bank has to deposit the short amount to which fun"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2020","1","185","25","ARD-2020-Q185","Soil Science, Water and Agro-meteorology","Soil conservation and erosion control","ard-soil-conservation-and-erosion-control-b50e6128","6f73b098-5439-44b1-82cc-fafff39f8072","Q.185) When farming is done along the lines of slopes in highly sloped area then it is known as"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2020","1","186","26","ARD-2020-Q186","Horticulture and Plantation Crops","Plant propagation methods","ard-plant-propagation-methods-51e57982","9e2c81e5-5f78-4ff0-bfb1-1e8176f02d5f","Q.186) Inarching is used in the propagation of"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2020","1","187","27","ARD-2020-Q187","Horticulture and Plantation Crops","Plantation crop management","ard-plantation-crop-management-6adb2d38","903b8143-3826-4622-9157-43f561ebeb7f","Q.187) Tipping is practiced in which of the crop"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2020","1","188","28","ARD-2020-Q188","Agricultural Engineering, Mechanisation and Extension","Farm implements and mechanisation","ard-farm-implements-and-mechanisation-635cd7ec","130c89d8-999b-4654-9a96-11ff7a9db0f3","Q.188)What is the subsidy given by bank for financing combine harvester?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2020","1","189","29","ARD-2020-Q189","Agronomy and Crop Production","Crop physiology and productivity","ard-crop-physiology-and-productivity-ec35b2e2","6ebb0db7-c97a-4d79-92ae-d06e7c0fc508","Q.189)Which crop is having highest conversion rate of solar energy?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2020","1","190","30","ARD-2020-Q190","Soil Science, Water and Agro-meteorology","Soil conservation and erosion control","ard-soil-conservation-and-erosion-control-b50e6128","577df12f-8c43-4092-a548-4d230c0daed6","Q.190) Which of the following is the most dominant factor for soil degradation in semi-arid zones in India?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2020","1","191","31","ARD-2020-Q191","Animal Husbandry, Dairy and Poultry","Fodder crops and grasses","ard-fodder-crops-and-grasses-c1dff30e","dbcb7c90-4bff-45da-9e89-db3c6a401370","Q.191) Elephant grass is also known with the name"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2020","1","192","32","ARD-2020-Q192","Agronomy and Crop Production","Crop production statistics and leading states","ard-crop-production-statistics-and-leading-states-76bd8597","d3d02061-4f32-4a21-afb7-90bbf5ba23d7","Q.192) Which of the following crop occupies largest area in India?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2020","1","193","33","ARD-2020-Q193","Soil Science, Water and Agro-meteorology","Soil types and their distribution in India","ard-soil-types-and-their-distribution-in-india-f1275c3b","6e58f6f2-de7b-465c-8c49-705348dc5174","Q.193) Which of the following soil has self-ploughing properties?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2020","1","194","34","ARD-2020-Q194","Agricultural Economics, Credit and Marketing","Union Budget and agriculture allocations","ard-union-budget-and-agriculture-allocations-168cd03f","4cd1fa37-a007-4343-bc43-f4d51b71e300","Q.194)In union budget 2020, finance minister announced a ____ point programme for revival of Agriculture sector"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2020","1","195","35","ARD-2020-Q195","Soil Science, Water and Agro-meteorology","Irrigation projects and command area classification","ard-irrigation-projects-and-command-area-classification-657dc57b","4e2e23a8-4910-46df-a42c-e038cf635136","Q.195) A minor irrigation scheme covers cultural command area upto"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2020","1","196","36","ARD-2020-Q196","Agricultural Economics, Credit and Marketing","Doubling farmers' income","ard-doubling-farmers-income-f022e57a","03e7a791-1584-456f-81de-852005e7d5e5","Q.196)Which of the following is the knowledge partner for the committee on doubling of farmers Income?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2020","1","197","37","ARD-2020-Q197","Fisheries and Aquaculture","Fish species, breeds and migration","ard-fish-species-breeds-and-migration-d80fedd9","877f7c60-33e0-4304-8228-997077fa4b98","Q.197)Which of the following type of fishes live in fresh water but move towards sea for breeding?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2020","1","198","38","ARD-2020-Q198","Animal Husbandry, Dairy and Poultry","Livestock and poultry diseases","ard-livestock-and-poultry-diseases-53ef1f4f","a024edec-fe0a-48bb-b46f-0fb70db780e5","Q.198) Which of the following is the most serious viral disease of poultry?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2020","1","199","39","ARD-2020-Q199","Soil Science, Water and Agro-meteorology","Plant nutrients, their functions and deficiency symptoms","ard-plant-nutrients-their-functions-and-deficiency-symptoms-55b74392","0e6936d4-0c33-4156-86c7-77b861ab2736","Q.199)Which of the following nutrient plays key role in sugar synthesis in Sugarcane?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2020","1","200","40","ARD-2020-Q200","Plant Protection and Crop Health","Crop diseases and their causal agents","ard-crop-diseases-and-their-causal-agents-b59ad874","6c6d3290-2279-4e2c-a853-49f6917ddb7f","Q.200) Rosetting in groundnut is due to"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2021","1","161","1","ARD-2021-Q161","Agricultural Economics, Credit and Marketing","Kisan Credit Card and agricultural credit targets","ard-kisan-credit-card-and-agricultural-credit-targets-1b663009","daeaa52c-b8ba-4471-954c-299a4f7e7498","Q.161) KCC scheme aims at providing adequate and timely credit support from the banking system under a single window wit"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2021","1","162","2","ARD-2021-Q162","Fisheries and Aquaculture","Fish species, breeds and migration","ard-fish-species-breeds-and-migration-d80fedd9","eeea0ffe-41f1-4b15-a459-bd8f821cb8ed","Q.162) Potamodromous fish is a freshwater fish, lives as well as migrate within fresh water. Which of the following fish"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2021","1","163","3","ARD-2021-Q163","Forestry and Agroforestry","Forest cover and forest policy","ard-forest-cover-and-forest-policy-df1fa06d","e79714d3-a654-4545-b795-f46cccb3c74b","Q.163) What percent of India’s geographical area should be under forest cover?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2021","1","164","4","ARD-2021-Q164","Agricultural Economics, Credit and Marketing","Value-chain and price stabilisation initiatives","ard-value-chain-and-price-stabilisation-initiatives-038079c6","692da6a8-eb39-42d6-b9aa-e4eeb98928cd","Q.164) ………… is an initiative by an Indian tobacco company (ITC) specifically designed to tackle the challenges posed by "
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2021","1","165","5","ARD-2021-Q165","Agricultural Economics, Credit and Marketing","Priority sector lending and RIDF","ard-priority-sector-lending-and-ridf-f05ce94f","c8fdf86b-55fe-4b3d-b1df-e451a083ff7a","Q.165) Identify the year in which Rural infrastructure development Fund has been constituted?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2021","1","166","6","ARD-2021-Q166","Agricultural Economics, Credit and Marketing","Operational land holdings and farm size classification","ard-operational-land-holdings-and-farm-size-classification-b394fb0e","05671186-2905-458f-8e20-f0360af7c736","Q.166) According to operational land holdings, small farmer is categorized under"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2021","1","167","7","ARD-2021-Q167","Soil Science, Water and Agro-meteorology","Irrigation projects and command area classification","ard-irrigation-projects-and-command-area-classification-657dc57b","d39eafd8-ba04-40c0-8ad1-db6d140ba461","Q.167) Cultivated command area for medium irrigated project is"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2021","1","168","8","ARD-2021-Q168","Agricultural Economics, Credit and Marketing","Farmer Producer Organisations","ard-farmer-producer-organisations-8f479c20","5d37d81d-699f-4c30-a50b-97a244a9ed9d","Q.168) Which state has maximum FPOs?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2021","1","169","9","ARD-2021-Q169","Forestry and Agroforestry","Agroforestry systems","ard-agroforestry-systems-ef1aa2d0","b5f04429-1184-44bf-af81-eef7da1cf4dc","Q.169) Agroforestry practice in which trees or shrubs are grown as hedge rows simultaneously with an arable crop"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2021","1","170","10","ARD-2021-Q170","Soil Science, Water and Agro-meteorology","Manures, fertilizers and biofertilizers","ard-manures-fertilizers-and-biofertilizers-baa7d9d5","7a62d023-3bb8-413f-8e79-d4e363fc4db3","Q.170) Which of the following fertilizer is organic in nature?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2021","1","171","11","ARD-2021-Q171","Rural Development, Schemes and Institutions","Rural artisan and handloom sector","ard-rural-artisan-and-handloom-sector-91744e34","0bbe103a-13d5-47fc-95eb-93c27881a214","Q.171) As per 4th All India Handloom Census 2019-20, how many weaver households are located in rural areas of our countr"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2021","1","172","12","ARD-2021-Q172","Agricultural Engineering, Mechanisation and Extension","Farm implements and mechanisation","ard-farm-implements-and-mechanisation-635cd7ec","d13c184f-5f70-4046-be41-228845e86330","Q.172) Wheel Hoe is used for _______."
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2021","1","173","13","ARD-2021-Q173","Rural Development, Schemes and Institutions","Food security and the public distribution system","ard-food-security-and-the-public-distribution-system-da810701","b4a8b34c-2e78-4813-a17a-122ba8c06ce7","Q.173) 5 Kg food grains per person per month distributed additionally under ……………. Yojana"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2021","1","174","14","ARD-2021-Q174","Animal Husbandry, Dairy and Poultry","Poultry production and management","ard-poultry-production-and-management-23203b34","f8adb11d-5869-4529-bd4d-b750fcf397ec","Q.174) Hens which are reared for the purpose of laying eggs are called _____."
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2021","1","175","15","ARD-2021-Q175","Fisheries and Aquaculture","Fish processing and post-harvest handling","ard-fish-processing-and-post-harvest-handling-563597fb","eda0426d-8ae7-470b-8ab5-e7c541101603","Q.175) The traditional methods of processing fish by salting, drying, smoking pickling etc. are collectively known as ……"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2021","1","176","16","ARD-2021-Q176","Agricultural Economics, Credit and Marketing","e-NAM and agricultural marketing platforms","ard-e-nam-and-agricultural-marketing-platforms-3c1c5ff6","435eedca-06fd-4990-a277-f780fdb48885","Q.176) Maximum selling agricultural commodity through National Agriculture Market (eNAM)."
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2021","1","177","17","ARD-2021-Q177","Soil Science, Water and Agro-meteorology","Soil moisture conservation practices","ard-soil-moisture-conservation-practices-bbf02983","bfff89c3-8f85-401c-8d98-ef7b4dc2d227","Q.177) Covering soils with crop residue, straw, etc., to conserve moisture and lowers evaporation is known as ………….."
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2021","1","178","18","ARD-2021-Q178","Soil Science, Water and Agro-meteorology","Soil types and their distribution in India","ard-soil-types-and-their-distribution-in-india-f1275c3b","451d8f95-9605-4b5d-b4d5-ef4022654bc6","Q.178) Soil formed due to wide diffusion of iron oxide is"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2021","1","179","19","ARD-2021-Q179","Soil Science, Water and Agro-meteorology","Irrigation and groundwater schemes","ard-irrigation-and-groundwater-schemes-8c00e4e2","0f495dbc-7a0e-47df-8822-85268f2a5e0e","Q.179) Atal Bhujal Yojana is World Bank aided Central Sector Scheme of Government of India with total outlay of Rs. 6000"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2021","1","180","20","ARD-2021-Q180","Soil Science, Water and Agro-meteorology","Agro-meteorology, rainfall and instruments","ard-agro-meteorology-rainfall-and-instruments-1970b919","2ddb84ee-12cd-46d5-b4eb-1b6929c7ed39","Q.180) Which instrument is used to measure humidity?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2021","1","181","21","ARD-2021-Q181","Soil Science, Water and Agro-meteorology","Climate change and emission reports","ard-climate-change-and-emission-reports-e3123cf2","6a0e1767-75fe-4981-9c31-692f1664fe49","Q.181) According to Emissions Gap Report 2020 released by United Nations Environment Programme (UNEP), the Global Carbon"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2021","1","182","22","ARD-2021-Q182","Agronomy and Crop Production","Cropping systems and cropping patterns","ard-cropping-systems-and-cropping-patterns-97da95cc","92da6f71-8080-4502-aa3f-8aca62784615","Q.182) Which one of the following terms describes the practice of growing two or more crops simultaneously on the same p"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2021","1","183","23","ARD-2021-Q183","Animal Husbandry, Dairy and Poultry","Livestock terminology and management practices","ard-livestock-terminology-and-management-practices-8ac22bac","fd9b13d6-84d8-4008-bf85-8bf7021e0110","Q.183) Buffalo rolling in mud is called ……………"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2021","1","184","24","ARD-2021-Q184","Soil Science, Water and Agro-meteorology","Irrigation methods","ard-irrigation-methods-d3bd948d","8760ace5-eeee-4fc3-b618-ac5f689ea59d","Q.184) Type of irrigation in which water is directly applied to the root zone of tree and easy for giving fertilizers, e"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2021","1","185","25","ARD-2021-Q185","Rural Development, Schemes and Institutions","Sanitation and drinking water missions","ard-sanitation-and-drinking-water-missions-1e7dd5d7","a8c42387-d4d7-48be-a156-d5b2cad2b5a5","Q.185) SUJALAM campaign to ensure sustainability of ODF gains & create one million soak pits is under which ministry?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2021","1","186","26","ARD-2021-Q186","Rural Development, Schemes and Institutions","MGNREGA","ard-mgnrega-e34273e0","09febc23-0016-4292-930c-482e00315a4f","Q.186)……………………….. is a demand driven wage employment programme, which provides for livelihood security by providing at l"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2021","1","187","27","ARD-2021-Q187","Fisheries and Aquaculture","Fish species, breeds and migration","ard-fish-species-breeds-and-migration-d80fedd9","b18b936d-e5ea-465b-b5aa-79984b4454f4","Q.187) Fastest growing indigenous fish in India?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2021","1","188","28","ARD-2021-Q188","Agronomy and Crop Production","Agro-climatic zones and crop regions","ard-agro-climatic-zones-and-crop-regions-b02b28dd","ea387796-758e-4954-815e-1d05efb0583d","Q.188) Haryana lies in which agro-climatic zone of India?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2021","1","189","29","ARD-2021-Q189","Animal Husbandry, Dairy and Poultry","Livestock terminology and management practices","ard-livestock-terminology-and-management-practices-8ac22bac","bf3067c3-81ec-454e-bbd7-8e933e7b0650","Q.189) Male sheep used for breeding purpose is ………"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2021","1","190","30","ARD-2021-Q190","Animal Husbandry, Dairy and Poultry","Livestock sector contribution and statistics","ard-livestock-sector-contribution-and-statistics-e5b03188","8ab657c4-310b-40f2-bae0-0ccdf38b64a1","Q.190) As per National Accounts Statistics, Livestock sector contributed ……... per cent of total GVA in 2018-19."
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2021","1","191","31","ARD-2021-Q191","Horticulture and Plantation Crops","Branches of horticulture","ard-branches-of-horticulture-f05380c6","e421dbba-89f4-415c-b414-91cca768097f","Q.191) Study of fruits is called ……………"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2021","1","192","32","ARD-2021-Q192","Horticulture and Plantation Crops","Orchard planting systems","ard-orchard-planting-systems-764aa89e","b9cefe10-0840-47e4-bfa3-f9ac991f775c","Q.192)One additional tree is planted in the center of each square planting method in ……….."
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2021","1","193","33","ARD-2021-Q193","Rural Development, Schemes and Institutions","Solar energy schemes in agriculture","ard-solar-energy-schemes-in-agriculture-db3c8676","e8986c82-946c-477c-b99b-7b397d0bff53","Q.193)What is the purpose of PM kusum scheme launched by Union Ministry of New and Renewable Energy (MNRE)?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2021","1","194","34","ARD-2021-Q194","Soil Science, Water and Agro-meteorology","Manures, fertilizers and biofertilizers","ard-manures-fertilizers-and-biofertilizers-baa7d9d5","8d24d126-a619-4bc3-aeec-5be600e82786","Q.194)Nitrogen content in urea is"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2021","1","195","35","ARD-2021-Q195","Rural Development, Schemes and Institutions","Self-help groups and DAY-NRLM","ard-self-help-groups-and-day-nrlm-e87b9d68","a954ede1-8158-4a4b-88dc-41ae345656e4","Q.195)According to NRLM, maximum SHGs are in which state?"
