year,question_number,question_id,classification,reason,suggested_subject
2024,8,8723cf3a-e4af-413c-866f-ee2e9fdf3f2d,DURABLE,Government and private-equity split of the Self Reliant India Fund,economics
2024,9,21a031cf-d598-43d6-9700-906c616ff60f,PERISHABLE,MSME share of all-India exports in FY 2023-24,
2024,10,3a9d6660-e922-4bc5-b390-dac5b922a38f,DURABLE,Single-window clearance portal launched by MoEFCC in 2018,
2024,11,8b842231-525d-4bfa-84d7-4b939eae8f85,DURABLE,Maximum grant-in-aid per integrated cold chain project,economics
2024,12,a7298c3c-5b54-4c3c-9a6b-610180a97137,DURABLE,Crops covered by the Price Support Scheme under PM-AASHA,economics
2024,13,07fe7881-ce89-4636-8d7b-70dabff148f2,DURABLE,State incentive share of fertiliser subsidy saved under PM-PRANAM,economics
2024,14,1883318d-a7ac-411b-aeaa-534b54780c7a,PERISHABLE,Agriculture ministry budget estimate for 2024-25,
2024,15,6c6fabd9-b2b5-403b-8d72-3f5cfb7cdb7e,DURABLE,UPI transaction limit for tax payments,banking
2024,16,d37da05c-2330-413d-aad0-cb8457ad536c,DURABLE,Maximum weight cap for Indian government bonds in the index,capital-market
2024,17,e2563c71-a97c-4aeb-8a14-ea9407a8b9a4,PERISHABLE,Largest contributing dimension to the FI-Index for March 2024,
2024,18,c3b184d4-7376-4b01-b27d-d13ae73fff6a,DURABLE,Indirect taxes subsumed under GST,economics
2024,19,38c4bde8-2363-4753-b7b0-de9f4fffc5f7,DURABLE,Parameter with the highest weight in the RBI Digital Payments Index,banking
2024,20,e04c9562-3075-4c29-9562-143eb186c86f,DURABLE,Investment value ceiling for a Basic Service Demat Account,capital-market
2024,21,3c8aefb0-6b1c-4917-86c6-8119831e00ac,PERISHABLE,Bank that partnered RXIL for pre-shipment finance,
2024,22,25bf3b60-a3f7-4fd5-b440-799f15c4fa54,DURABLE,Cumulative repo rate increase over the May 2022-February 2023 cycle,economics
2024,23,aa7f15a2-756d-4e3b-84f4-a446c59cd7ea,DURABLE,Asset-size criterion for Internal Ombudsman appointment by NBFCs-ND,banking
2024,24,b64a8b53-b990-4039-9de8-4c09f8451bd9,DURABLE,Inoperative period after which deposits move to the DEA Fund,banking
2024,25,4fc90b0f-6ed7-4354-9010-ad78c0d78f6e,DURABLE,Maximum deposit tenure for HFCs after NBFC harmonisation,banking
2024,26,fe284090-9d9a-4778-b5d7-8077b79b8919,DURABLE,Bulk deposit threshold for Local Area Banks,banking
2024,27,b2a52ab0-82ae-4a9f-8dab-c2236aade5b9,DURABLE,Government security tenures excluded from the Fully Accessible Route,capital-market
2024,28,9c570193-9a1e-4cbd-b7b3-681465a46cc8,DURABLE,Eligibility criteria for SFB transition to universal bank,banking
2024,29,75a85026-bcd3-4129-af8e-f18aa5c654c8,DURABLE,Eligibility criteria under the RBI FinTech SRO framework,banking
2024,30,5c3e362e-0dba-4003-958b-ceadce1d9318,DURABLE,Sectors for which CRAR risk weights were enhanced,banking
2024,31,896c2b31-f466-409b-b800-641be3efc1f0,DURABLE,IFSCA mandate and constitution,banking
2024,32,fbb7d25c-0b56-4599-b422-c45b381efb42,DURABLE,Stated outcomes of rising digital payments,banking
2024,33,e0dd0b78-f9d6-405e-87ea-9b10832a9650,DURABLE,INFINET network scope and the systems it carries,banking
2024,34,bd0aaed2-51ee-40bb-934c-4143bf4f79f9,DURABLE,State and UT borrowing formats from the RBI,banking
2024,35,feb37eb8-99d5-4dfa-aa89-74c58233eafe,DURABLE,AIFI deposits excluded from priority sector lending computation,banking
2024,36,8db74694-48dd-4f21-84a8-e02c0da21137,DURABLE,Entity supervised by the RBI Department of Regulation,banking
2024,37,da7110b3-e6c4-4818-a774-82aaf5d16e42,DURABLE,Committees matched with their year of establishment,banking
2024,38,55094ce0-40a8-4990-9eaf-03ffc2186a32,DURABLE,Minimum net worth for recognition as an IAASB or RAASB,capital-market
2024,39,cbf8c8e6-eb92-4b50-bcb5-17d4206cf7b6,DURABLE,Income-tax section granting relief on ZCZP bonds,capital-market
2024,40,7fb6efd1-134f-4c24-8dc9-ca288daeb7b2,DURABLE,Instruments of monetary policy,economics
2024,41,798d40be-1be7-4acf-8f24-875065255b8c,PERISHABLE,IRDAI penalty imposed on a named NBFC; enforcement event,
2024,42,639680ba-7e80-4f08-a577-ecd031b9f062,DURABLE,Years the Banking and Digital Transactions Ombudsman schemes were notified,banking
2024,43,4f04deeb-e43b-4ab1-aa7a-b598d75d3e61,PERISHABLE,Problem statements of a dated RBI hackathon,
2024,44,1af91cef-9299-4846-8359-82d9dc8c63d2,DURABLE,Loan-size cap for use of a suspended rating agency's ratings,banking
2024,45,0cb19ff4-2eaf-4191-b2a9-ad0ce688bd37,DURABLE,Features of floating rate savings bonds,capital-market
2024,46,b61bbbac-da6c-4286-a75f-5a618ca7fd9d,DURABLE,Revised SEBI minimum investment amount for bonds,capital-market
2024,47,4a6c88b5-3ae7-4594-84b6-690a3aa7dfb7,DURABLE,NPA resolution mechanisms matched with their enactment years,banking
2024,48,043697de-6bf4-4c94-b702-b6da06187ec2,DURABLE,Premature redemption window under the Sovereign Gold Bond scheme,capital-market
2024,49,08524ce8-d0a8-47a9-92c0-7f4655ae1e74,PERISHABLE,Nationality of a newly appointed NATO Secretary-General,
2024,50,0b8b22ff-925a-4d0f-9519-e7897fad65a4,PERISHABLE,Composition of the UNFCCC presidency troika; rotates annually,
2024,51,502ce244-eebd-45d6-873c-07b8e0daec11,PERISHABLE,Country leading Gen AI patent filings per a dated report,
2024,52,9bcb0ef0-a3f5-4943-b99f-0df2c20550d0,PERISHABLE,Grand Slam titles a named player has yet to win,
2024,53,e9341b3c-8605-4df3-9bbc-a4ddc0d5528e,DURABLE,Olympic Games at which a named shooter won gold; fixed history,
2024,54,75db4cef-c2c5-4107-abe7-abc2c9b2058f,PERISHABLE,India's standing in the latest Environmental Performance Index,
2024,55,10af97a2-2afc-49f3-9394-df831d4706cc,PERISHABLE,Kit sponsor of the Athletics Federation of India,
2024,56,ebbc4dd1-e619-499d-aa50-57e603aaf3ff,PERISHABLE,Serving G20 Sherpa for India; appointment,
2024,57,b072a614-e11b-43ef-a926-102f8e4f61bb,PERISHABLE,Least peaceful countries in the Global Peace Index 2024,
2024,58,fc5a9390-640e-44c7-9656-3c93bdf37c62,DURABLE,Alternative name of the BBNJ Agreement,
2024,59,5ea75317-93e0-45f6-b713-e15661a4ea83,DURABLE,Region holding the largest lithium reserves,
2024,60,5b44f24f-1c7b-4a42-b822-3393a48b648e,PERISHABLE,Top three countries at a given International Mathematics Olympiad,
2024,61,53f4f623-2ab7-46e8-9dfb-efb45ce9d735,PERISHABLE,Insurer that launched a named AI health plan; product launch,
2024,62,ce005ad8-65c4-4c19-984b-3d3ef073fd23,DURABLE,Days taken by Aditya L1 to complete its first halo orbit,
2024,63,476a1b17-5848-47ba-9a60-c7015b1a2ef6,DURABLE,Constitutional schedule containing the Anti-Defection Law,
2024,64,8c723e8f-6790-411a-8249-8b60a512b3ce,DURABLE,Maximum fine under the Public Examinations Act,
2024,65,0b0c9568-a2f0-4dd5-a57f-42866eeb2434,DURABLE,Country the Houthis belong to,
2024,66,2735f8fd-d4a7-4666-b67d-02cb8992a0d9,DURABLE,Term for startups approaching unicorn valuation,
2024,67,6e1a77de-bc75-4417-88c8-c6435759514a,DURABLE,The two houses of the UK Parliament,
2024,68,2f3f55fb-f6e3-4a9d-a0bf-ee2749f1dc66,DURABLE,Number of information commissioners besides the Chief Information Commissioner,
2024,69,4cc1af65-893b-4548-ae4c-af73d2077672,PERISHABLE,Top employer brands in a dated Randstad survey,
2024,70,1633fb70-e013-4f85-8c9f-ad306f6e63d0,PERISHABLE,FMCG brand recognition per a dated Kantar report,
2024,71,ba2458c3-0fa8-4521-bac7-fbd4c2507133,PERISHABLE,Sport India did not enter at a specific Olympics,
2024,72,c156f5f1-1850-4f96-b60b-1ec4a8f82850,PERISHABLE,Venue of a dated ICOMOS General Assembly,
2024,73,d699bb86-2cf3-4195-8a66-7b4d2c5faec9,DURABLE,Nomenclature list carrying the Chandrayaan landing-site name,
2024,74,be6b9e3c-7dbe-4638-b76c-f66406815e0f,DURABLE,Author of a named book,
2024,75,c2377279-c3a4-4bce-9fac-ad9fe5bce7e8,DURABLE,Banks involved in a completed small finance bank merger,banking
2024,76,b4e1528c-a68c-452c-8e6c-80260a6f03e9,PERISHABLE,Host venue of a G7 summit,
2024,77,65c278c8-5e09-4b68-80ca-0aa0a5db073a,PERISHABLE,Partner country in a dated UPI linkage agreement,
2024,78,a3fb5fe1-9d94-4d21-9416-8b696ba1e82c,DURABLE,Name of the chilli pungency measurement scale,
2024,79,1143acaa-b912-4b79-86a0-2fd5dfabf6db,PERISHABLE,Focus areas announced in a specific Union Budget,
2024,80,7141e43d-e2ad-481a-aba5-d0c402af0930,DURABLE,Term for false output produced by an AI system,
2025,1,b7108e45-936d-4893-870f-624e6e2bef72,DURABLE,Leading producer states for named crops,
2025,2,df958959-d249-42ea-81c0-7f0b24db6d71,PERISHABLE,Developer of a named AI platform; product launch,
2025,3,1cd7dcac-dae6-4539-87d1-57333a5f7193,DURABLE,Country in which named mountain peaks lie,
2025,4,a4679a2f-94e7-4caf-adc8-c709420959c4,PERISHABLE,SDG scope of a dated WFP collaboration,
2025,5,d7989933-1358-4c7d-bd31-13187372961d,DURABLE,Countries with more than one capital city,
2025,6,01e9246e-c036-493d-8981-9d4739dcdb35,DURABLE,Frequency of the Sea Dragon exercise,
2025,7,c2ec4fae-6110-4573-ac56-3821d770401c,DURABLE,Target groups of the NCFE Financial Education Programme for Adults,financial-awareness
2025,8,65139476-3941-422f-99a9-0f46bd22a325,PERISHABLE,Top Indian university in a dated QS ranking,
2025,9,619759c6-e9ee-425b-bf4c-7305035fe1f9,DURABLE,GST rate slab assigned to a pre-packaged item,economics
2025,10,dfd8376e-b493-4685-9978-9cd0c56a6655,PERISHABLE,Serving Director General of ICMR; appointment,
2025,11,17855327-6e9c-44e3-8000-3a19ee8f3519,DURABLE,Housing loan limits by urban cooperative bank tier,banking
2025,12,a563bf34-cab2-4001-aeb0-245426a3a1a6,DURABLE,Member states of EFTA,
2025,13,129a6ae1-1ede-4f52-847a-e0ab53efb929,DURABLE,Institution that conducts the All-India Debt and Investment Survey,economics
2025,14,924f659f-a4d9-4819-afac-6cd769e417b7,PERISHABLE,Observance date of World Mental Health Day,
2025,15,8394cecb-162c-40a6-a338-f78884177bc1,DURABLE,Regulator of venture capital funds in India,capital-market
2025,16,34547acf-12eb-44c4-abb5-9174c085435d,DURABLE,Aggregate 24-hour UPI limit for capital market transactions,banking
2025,17,99e371db-149a-4cdf-81f3-d853748e0d60,DURABLE,Headquarters of the Geological Survey of India,
2025,18,261b501a-3b31-42cd-8642-7e5658dbec87,PERISHABLE,Banks that joined a carbon accounting partnership,
2025,19,bf87a311-73c2-40f8-9b01-70dc6c4249ea,PERISHABLE,Portfolios held by a named minister; appointment,
2025,20,7495cfb4-9663-49a4-99a7-2d0b9e555b7a,PERISHABLE,Campaign launched in a stated month; launch event,
2025,21,91c8e0da-0f3d-42c8-890b-6b68fe32250b,DURABLE,Minimum credit rating for an NBFC-D to accept public deposits,banking
2025,22,3f519bc3-a2a0-4f94-b6dc-211e29911ee5,DURABLE,Programmes under the skill development umbrella,
2025,23,8f9e55f9-5f75-4838-bb62-891a601437ec,DURABLE,Bank category for which RBI stopped issuing licences after 2004,banking
2025,24,308cffed-e8b3-4dd3-8b93-4a8642a6d792,DURABLE,Minimum margin under the Differential Rate of Interest scheme,banking
2025,25,c391d9ef-8630-4643-84a1-83f3db790666,DURABLE,Minimum net worth for an NBFC-MFI,banking
2025,26,3d598a6c-7449-42fa-863b-2bad65abae03,PERISHABLE,Serving ISRO chairman; appointment,
2025,27,363e032b-722a-4211-b81a-91a1729e1a25,DURABLE,Entities empowered to enforce security interests under SARFAESI,banking
2025,28,5522f400-2925-48cf-bbcc-588e713fac1b,PERISHABLE,Organisation approving a stated clean energy facility amount,
2025,29,308ef4be-d09b-42c0-970e-0cf7baea5fcd,DURABLE,Minimum net worth for payment aggregator registration,banking
2025,30,7b50ed9a-79a9-4723-b307-188c86c6ef1b,DURABLE,Enhanced per-transaction UPI limit for specified categories,banking
2025,31,da740899-0bcf-41c2-9c3c-a4cdf027d473,DURABLE,Kharif forage crops,
2025,32,ac021134-3d01-4a54-95b6-5bcf930f62e3,DURABLE,Planet with the largest volcano,
2025,33,22de39f7-55a9-4303-a94a-b70b5b2456b5,PERISHABLE,Observance date of an international day,
2025,34,5896bb1b-4f1b-4b85-93cb-f8b7e0753f25,PERISHABLE,Service count in the RBI Citizen's Charter after a stated update,
2025,35,6e5c838c-4818-43cc-b3d2-356c7a87bde9,PERISHABLE,Daily capital market turnover on stated 2025 data,
2025,36,9606ad52-7f77-4113-a731-4a0cc675f0c3,DURABLE,State associated with the Thewa Art GI tag,
2025,37,2a3e0fa5-a303-437d-8dbc-3495a3d1b808,PERISHABLE,Theme of World Population Day 2025,
2025,38,430386e5-b4a7-448d-bc03-958e27df17c1,DURABLE,Origin of the title conferred after the Bardoli Satyagraha,
2025,39,5ed0efe5-278c-49ee-896a-27af0c7de69c,PERISHABLE,Winner of a dated chess tournament,
2025,40,068ac1e8-bab9-4a16-aa19-3f255dde38ab,PERISHABLE,Country of the agency that upgraded India's sovereign rating,
2025,41,e208a9fa-790f-48b7-8039-3db1372c6662,DURABLE,Balance above which banks may set differential savings rates,banking
2025,42,35b8579a-a850-4859-8cd4-5e0c9bbc3429,DURABLE,Entities to which Basel III capital norms apply,banking
2025,43,28dca866-0234-4caf-803c-9ae5fb8348c4,DURABLE,Parameters in the Quality dimension of the FI-Index,banking
2025,44,b690d07e-4fcf-49ed-babf-1de0fa149b7e,DURABLE,First Indian recipient of the Pulitzer Prize; fixed history,
2025,45,78e01d61-48df-48b0-aed6-bdeb5830e5d3,DURABLE,Eligibility and capital requirements for small finance banks,banking
2025,46,21fc1dee-890e-453b-be65-1c58efbc56ed,PERISHABLE,Count of Maharatna CPSEs as of a stated year,
2025,47,459e3f57-9caa-400f-bb22-9bebcb79999d,DURABLE,Countries ranked by geographical area,
2025,48,323d182a-1639-4a16-a640-28b2d8cc2934,PERISHABLE,First fintech to operationalise the retail digital rupee wallet,
2025,49,fdd2c284-61f6-45bb-a90e-d516f6cccffb,DURABLE,Operating rules of the Basic Savings Bank Deposit Account,banking
2025,50,c46e52a6-5364-45c1-b5e5-a913a0733f36,DURABLE,Number of strategic pillars in the RBI FREE-AI framework,banking
2025,51,489185ed-ce45-4b98-a13d-e7c16aac301a,PERISHABLE,Top five in a dated IMD competitiveness ranking,
2025,52,930e47fd-cd36-4608-bf65-9f276c7e78ce,PERISHABLE,Name of a naval base inaugurated in a stated month,
2025,53,d85e6f2f-d72a-4ec7-a0b0-eb50baa1dc99,DURABLE,AERB acronym expansion,
2025,54,a4a8360a-3d89-4e01-ae18-7942167191f9,PERISHABLE,President of CII for a stated term; appointment,
2025,55,d4eb19f3-b01e-43a9-8914-8b18eb6b75f7,DURABLE,Year the MiG-21 was commissioned into the IAF,
2025,56,b59c62bf-e5d7-496f-b9ca-a06dba55d2b8,DURABLE,Year the Planning Commission was replaced by NITI Aayog,economics
2025,57,8cc66305-2aa4-4cc7-8028-3337646bb664,DURABLE,Nobel Prize category instituted in 1968,
2025,58,452f1e81-c5d2-47c4-8d36-f8cc3863bb00,DURABLE,Qualitative instruments of monetary control,economics
2025,59,76d56717-5b7e-4806-bc23-4e6be92f4da2,DURABLE,Constitutional deadline for filling a Vice-Presidential vacancy,
2025,60,1776f819-be8f-4bd8-9ee7-7fee01f72a3b,DURABLE,S3WaaS acronym expansion,
2025,61,316601a9-1e15-4476-8732-580f584827c4,DURABLE,RBI data sets published on a daily basis,banking
2025,62,b1344732-0b5e-4dae-ac84-ffad33f04440,PERISHABLE,Partner country in a dated cross-border payments tie-up,
2025,63,cf3faf75-ac41-4024-a832-3ef1c230bada,PERISHABLE,India's subcomponent performance in a dated Human Development Report,
2025,64,67ad6288-b1ea-4d89-932e-670a65c565b0,DURABLE,Countries in which named rivers originate,
2025,65,0187dc2a-c63d-43db-87d5-19149ae39a53,DURABLE,Location of India's first bamboo-based ethanol plant,
2025,66,b8859b98-5bd2-4736-be71-6346397bdb8f,DURABLE,States covered by the Green National Highway Corridors Project,
2025,67,11d4eb3d-a5bf-44a6-b9e1-3bd735df0fd6,PERISHABLE,Countries with operational small modular reactors as of a stated year,
2025,68,fb41e2c9-dec4-47cd-91a4-8e26f77d0c5e,PERISHABLE,India's ranks in the Global Innovation Index 2025,
2025,69,817e9feb-25c7-49d8-bb89-8a5c67e00833,DURABLE,Launch year and organisers of the World Green Economy Summit,
2025,70,58c5c56d-b0db-4e67-ad1b-2d7e4bfcd500,DURABLE,Sustainable Development Goal covering quality education,
2025,71,00ac2d8f-3e72-4b55-b0e9-f0611b410010,DURABLE,Name of the tri-service all-women circumnavigation expedition,
2025,72,da0846a8-fb42-49c4-b9df-7447a5295d75,DURABLE,State that pioneered identity cards for women self-help groups,
2025,73,7539b035-f878-4bc9-8e7d-3f5582a964db,DURABLE,Ex-officio President of CSIR,
2025,74,da16eef0-aef4-4ece-985a-cf05db36caf6,PERISHABLE,Includes a year-specific sugarcane price movement,
2025,75,71fd899a-b967-418a-8079-7cbb08fbf975,DURABLE,Maximum tenure of an RBI Ombudsman under RB-IOS 2021,banking
